2732,2383
2607,1151
1653,277
3264,1395
835,1126
763,1802
1731,272
1033,2050
277,1838
1778,701
1828,2222
2647,1134
3142,2336
2648,231
2362,1943
705,385
2599,3364
2135,264
2222,1583
2897,2907
1701,1024
537,163
2893,3098
2120,1214
2825,1903
1940,2996
2163,1686
976,2719
755,1885
2046,2307
1871,259
2496,1378
2898,1140
99,164
2008,2474
3249,366
755,1044
797,1257
659,2181
3219,2776
2958,1023
423,3155
3360,694
3337,741
2745,3331
639,1175
544,3120
2591,2910
714,670
2292,1241
151,1927
2723,652
2558,240
2930,923
1207,204
2076,714
802,427
2176,238
2176,2803
1956,43
3125,1798
1925,711
756,2560
273,563
2383,674
388,2912
1641,3095
3114,1472
1466,1735
2591,786
888,800
257,2
1345,3340
2105,1600
2339,894
3191,764
2827,3144
430,1795
3154,894
91,2010
1920,131
2446,1254
2659,2502
1589,2452
2956,826
2681,2050
84,981
2251,175
324,1535
774,110
3012,1618
1071,254
639,1616
2036,2361
1155,1313
972,69
2916,3293
1204,1103
2024,3161
1167,493
1684,3061
3299,1304
3002,356
2839,2748
2767,889
2957,2880
373,1469
1877,1101
560,1548
1329,710
1605,1137
2217,2609
1699,131
1472,928
3167,3187
3269,1713
256,2445
1905,75
1316,3089
1954,68
816,2351
2435,330
1634,2470
973,2676
368,3317
2023,870
2965,2480
201,1572
2431,1501
1536,793
1930,547
2418,960
555,1856
954,1032
2071,3011
1723,2822
130,3173
2425,3068
2146,947
931,82
2782,2424
2171,1553
1987,3198
2642,3336
1966,47
2787,1579
3220,1795
209,300
2610,2123
1435,2353
2830,1074
3113,3210
3130,1195
2753,719
3108,987
2826,3174
86,574
3115,2386
872,1397
2059,2467
2818,341
307,924
1104,955
2080,2273
1206,1113
1152,458
2854,1537
275,506
1198,921
1578,2680
1395,1449
1208,1037
2492,2258
2536,1236
2334,1671
1304,2856
637,312
770,341
94,2085
3298,1454
1899,1235
3341,1498
1904,1719
2344,1416
1352,3068
3091,2773
607,239
1434,677
2498,963
1272,686
180,744
2371,425
3052,860
3332,3135
749,1081
2187,1015
1020,2599
2646,705
2937,1459
1645,701
843,365
2744,1733
1552,954
3224,351
925,936
2197,2121
1134,2741
25,2567
1488,355
956,2991
1913,709
2934,681
1141,796
1469,3318
1619,2938
2721,2901
1896,779
928,515
3300,2322
1531,1955
2811,46
2169,2409
1350,3217
469,1135
2335,2203
525,1078
1863,2671
1720,713
1176,2451
591,199
2089,2046
2322,940
207,1646
2827,2722
166,673
2159,2122
1153,375
