172,31,154,220,50
47,13,124,65,242
117,71,163,169,102
192,184,58,66,20
67,152,177,114,171
251,79,106,92,118
195,41,201,78,128
103,18,44,229,228
9,40,13,219,109
211,182,121,246,105
21,207,70,100,194
242,11,38,159,225
36,166,167,221,140
87,111,136,178,15
70,93,13,174,118
216,249,248,93,33
88,129,135,114,151
140,223,208,161,140
58,118,248,12,133
193,44,22,224,38
230,216,248,233,1
39,125,79,80,10
87,24,217,66,6
174,67,8,200,125
88,210,227,243,6
81,239,6,125,102
165,3,209,138,166
25,234,199,112,75
77,204,212,218,114
72,230,217,155,85
9,35,194,184,126
148,214,60,120,114
115,189,144,65,178
208,197,56,192,51
243,215,114,197,2
197,43,237,88,76
79,32,151,34,157
175,11,24,207,9
192,104,4,3,115
82,212,100,188,200
99,138,236,238,133
216,182,49,165,116
177,235,87,171,181
243,165,30,211,235
29,125,54,88,193
147,156,153,70,43
147,111,20,148,79
142,232,97,134,62
167,2,101,28,76
32,27,185,115,47
193,211,151,134,76
9,217,155,66,149
185,151,29,92,120
127,53,161,220,18
32,51,115,102,89
31,174,53,101,13
202,148,119,123,222
244,181,179,197,92
151,29,86,109,236
163,67,246,73,105
203,35,7,100,213
114,39,105,182,6
183,137,241,77,100
28,73,137,149,48
34,41,182,251,40
128,151,128,159,154
128,131,83,81,158
164,46,120,35,133
53,218,164,237,143
133,178,209,243,191
38,108,148,250,229
232,3,117,136,37
244,31,240,25,59
17,9,3,21,113
79,138,126,173,95
132,27,42,229,96
105,173,65,214,240
42,199,20,144,208
186,167,36,153,32
31,61,68,238,62
120,85,208,119,138
1,97,112,165,140
65,44,175,127,93
231,34,138,129,64
169,162,237,133,157
57,88,104,198,90
35,33,222,140,231
102,133,91,90,150
119,232,43,74,147
11,36,63,251,133
174,0,159,182,36
82,203,148,78,83
91,34,198,62,127
128,197,9,72,228
142,126,188,199,5
99,181,91,45,92
53,80,111,133,204
140,190,163,47,154
121,136,83,187,241
170,189,76,170,83
84,129,18,195,140
203,209,113,138,230
68,112,74,242,135
6,35,226,57,180
196,120,225,219,80
47,91,171,89,157
127,168,131,131,0
244,116,140,125,215
131,36,228,206,207
204,176,58,82,74
100,25,129,197,131
180,67,113,186,61
232,103,128,132,67
78,35,39,17,144
143,114,24,197,112
148,30,186,191,201
227,29,36,94,84
186,241,99,152,116
23,33,69,131,229
207,146,134,69,56
141,17,3,168,62
117,221,226,164,184
85,84,121,58,48
48,2,168,177,145
49,69,188,183,117
69,101,161,152,185
169,140,28,161,9
163,44,68,146,236
192,117,26,97,190
95,66,224,206,79
197,111,248,241,230
94,91,109,135,206
0,85,179,181,161
113,167,201,235,132
178,39,181,46,144
36,203,197,240,228
162,150,161,244,71
48,158,135,127,62
93,145,125,161,23
131,198,94,81,91
98,199,72,157,110
42,18,246,12,7
205,92,84,118,22
112,43,135,46,98
231,83,195,118,158
149,177,213,32,246
201,41,219,34,80
127,93,108,115,155
0,174,67,87,47
138,149,102,124,239
114,201,84,153,114
43,89,71,174,11
186,242,83,242,215
127,224,223,107,78
23,219,0,52,231
187,73,133,233,30
130,28,91,110,90
121,235,107,64,34
98,209,158,76,54
62,105,201,118,81
163,186,211,73,163
222,128,7,146,71
123,214,149,4,109
195,63,229,7,59
82,16,220,131,112
174,106,136,48,165
227,164,171,76,68
148,94,46,37,181
209,24,0,116,13
50,116,104,237,101
155,191,179,48,19
14,195,38,109,107
41,51,89,210,8
58,136,74,179,96
193,184,243,49,209
36,91,226,71,197
10,93,123,90,124
86,123,87,177,100
43,238,96,238,129
104,87,83,29,157
11,160,26,3,133
2,147,206,74,208
51,72,32,84,230
80,199,115,234,248
32,87,198,65,168
182,13,97,119,150
128,58,172,20,30
38,81,59,208,19
19,120,57,42,4
174,116,178,242,148
42,183,173,28,106
115,64,233,154,74
184,203,132,87,123
188,220,185,180,195
232,164,93,48,214
77,25,91,194,60
30,32,145,102,229
24,170,163,9,250
125,14,194,2,93
2,214,148,116,169
3,28,173,108,40
94,20,185,233,188
226,210,207,89,209
107,68,119,124,179
13,22,164,117,40
112,227,105,100,59
40,122,190,90,234
72,83,4,68,222
19,135,241,105,29
95,200,242,10,225
72,61,205,12,94
154,141,158,104,238
194,5,109,225,165
248,0,87,165,126
180,136,226,167,216
67,207,163,160,16
236,207,73,122,99
61,181,218,33,167
14,139,183,154,157
96,4,26,99,65
4,167,118,217,23
195,92,22,50,200
237,173,204,88,128
139,26,207,210,87
86,74,98,20,37
205,52,90,222,111
121,238,51,156,191
109,177,230,72,154
75,219,46,18,217
184,51,208,153,89
16,227,61,152,134
152,105,188,39,216
157,18,47,234,247
149,117,250,123,207
110,34,104,28,101
25,51,128,152,41
208,158,138,146,145
188,181,203,195,208
121,58,141,172,112
118,171,71,211,43
117,55,94,45,110
189,18,6,54,197
83,173,173,0,118
161,87,245,138,147
104,193,158,195,239
160,70,15,134,22
228,234,169,219,109
251,53,166,99,139
251,48,53,185,11
121,94,171,198,161
70,59,82,147,135
213,80,135,162,119

1,1,1,1,1,1,1
1,1,1,1,1,1,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,0
1,1,1,1,1,1,0
1,1,1,0,1,1,1
0,0,1,1,1,1,0
1,0,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,0,1,1,1,0
0,0,0,0,1,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
1,1,1,1,1,1,1
1,1,0,1,1,1,1
1,1,1,1,1,1,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,1,1,1,1,0
1,1,1,1,1,1,0
0,0,0,0,0,0,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,0,1,1,1,0
1,1,1,1,1,1,1
0,0,0,0,1,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,0,1,1,1,1
1,0,1,1,1,1,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,1,1,1,1,1

0.688888888889
